,,Transmission,,
lambda,radius (nm),Fe3O4,Fe2O3,Fe
655,10,0.97816,0.99244,0.77379
655,15,0.95547,0.97654,0.57562
655,20,0.92852,0.95068,0.4202
655,25,0.89978,0.91765,0.31514
655,30,0.87147,0.88212,0.24529
660,10,0.97842,0.99272,0.77634
660,15,0.956,0.97731,0.57897
660,20,0.92936,0.95212,0.42328
660,25,0.9009,0.91979,0.31765
660,30,0.8728,0.88482,0.24728
665,10,0.97873,0.99306,0.77888
665,15,0.9566,0.97817,0.58234
665,20,0.93026,0.9537,0.42641
665,25,0.90207,0.92212,0.32022
665,30,0.87416,0.88776,0.24933
670,10,0.97903,0.99339,0.78138
670,15,0.9572,0.97902,0.58569
670,20,0.93115,0.95526,0.42954
670,25,0.90323,0.92443,0.32279
670,30,0.87551,0.89068,0.25138
675,10,0.97946,0.99364,0.78373
675,15,0.95802,0.97969,0.58886
675,20,0.9324,0.95652,0.43251
675,25,0.90484,0.92634,0.32525
675,30,0.87742,0.89313,0.25336
680,10,0.97988,0.99388,0.78604
680,15,0.95883,0.98034,0.592
680,20,0.93362,0.95777,0.43548
680,25,0.90645,0.92823,0.3277
680,30,0.87932,0.89556,0.25533
685,10,0.98029,0.99408,0.7883
685,15,0.95964,0.98091,0.59507
685,20,0.93485,0.95887,0.43838
685,25,0.90806,0.9299,0.3301
685,30,0.88124,0.89772,0.25725
690,10,0.9807,0.99428,0.79053
690,15,0.96044,0.98148,0.59812
690,20,0.93606,0.95995,0.44127
690,25,0.90965,0.93156,0.3325
690,30,0.88314,0.89986,0.25917
695,10,0.98105,0.99446,0.7927
695,15,0.96112,0.98197,0.6011
695,20,0.93713,0.96093,0.4441
695,25,0.91107,0.93308,0.33484
695,30,0.88485,0.90184,0.26106
700,10,0.98139,0.99463,0.79484
700,15,0.9618,0.98246,0.60405
700,20,0.93818,0.96189,0.44692
700,25,0.91248,0.93457,0.3372
700,30,0.88654,0.90381,0.26294
705,10,0.98167,0.99479,0.79705
705,15,0.96238,0.98293,0.6071
705,20,0.9391,0.96281,0.44983
705,25,0.91374,0.936,0.33961
705,30,0.88808,0.90569,0.26488
710,10,0.98194,0.99496,0.79922
710,15,0.96296,0.98339,0.61013
710,20,0.94002,0.96372,0.45274
710,25,0.91498,0.93742,0.34203
710,30,0.88961,0.90755,0.26682
715,10,0.98221,0.99509,0.80131
715,15,0.96352,0.98378,0.61303
715,20,0.94092,0.9645,0.45553
715,25,0.91621,0.93864,0.34436
715,30,0.89112,0.90918,0.26869
720,10,0.98248,0.99521,0.80337
720,15,0.96407,0.98416,0.61592
720,20,0.9418,0.96527,0.45831
720,25,0.91742,0.93985,0.34669
720,30,0.89261,0.91079,0.27056
725,10,0.98269,0.99534,0.80522
725,15,0.96453,0.98453,0.61853
725,20,0.94255,0.96601,0.46085
725,25,0.91847,0.94102,0.34881
725,30,0.89391,0.91235,0.27226
730,10,0.98289,0.99546,0.80706
730,15,0.96497,0.98489,0.62113
730,20,0.94328,0.96674,0.46337
730,25,0.91949,0.94218,0.35092
730,30,0.89519,0.91389,0.27396
735,10,0.98309,0.99558,0.80889
735,15,0.96542,0.98525,0.62379
735,20,0.94404,0.96745,0.46601
735,25,0.92056,0.94332,0.35318
735,30,0.89654,0.91542,0.2758
740,10,0.98329,0.9957,0.8107
740,15,0.96587,0.9856,0.62643
740,20,0.94478,0.96816,0.46865
740,25,0.92162,0.94444,0.35544
740,30,0.89787,0.91693,0.27765
745,10,0.98343,0.99579,0.81251
745,15,0.96619,0.98589,0.62896
745,20,0.94534,0.96877,0.47108
745,25,0.92242,0.94543,0.35744
745,30,0.89889,0.91829,0.27923
750,10,0.98357,0.99588,0.81431
750,15,0.96651,0.98618,0.63149
750,20,0.94589,0.96937,0.4735
750,25,0.92321,0.94641,0.35945
750,30,0.8999,0.91963,0.28082
755,10,0.98365,0.99597,0.81623
755,15,0.96673,0.98645,0.63423
755,20,0.9463,0.96994,0.47618
755,25,0.92384,0.94733,0.3617
755,30,0.90072,0.92088,0.28262
760,10,0.98372,0.99605,0.81813
760,15,0.96695,0.98672,0.63696
760,20,0.94671,0.97049,0.47886
760,25,0.92445,0.94823,0.36394
760,30,0.90153,0.92212,0.28441
765,10,0.9838,0.99611,0.81981
765,15,0.96717,0.98692,0.63938
765,20,0.94712,0.97094,0.48124
765,25,0.92508,0.94899,0.36593
765,30,0.90236,0.92317,0.286
770,10,0.98387,0.99616,0.82148
770,15,0.96738,0.98711,0.64179
770,20,0.94753,0.97138,0.48361
770,25,0.9257,0.94973,0.36793
770,30,0.90318,0.92421,0.2876
775,10,0.98384,0.99624,0.8232
775,15,0.96739,0.98736,0.64432
775,20,0.94765,0.97189,0.48613
775,25,0.92595,0.95057,0.37007
775,30,0.90356,0.92537,0.28933
780,10,0.9838,0.99632,0.8249
780,15,0.96741,0.98761,0.64682
780,20,0.94776,0.9724,0.48865
780,25,0.9262,0.9514,0.37222
780,30,0.90394,0.92652,0.29106
785,10,0.98366,0.99637,0.82658
785,15,0.96723,0.98779,0.64926
785,20,0.94761,0.97282,0.49105
785,25,0.92611,0.95211,0.37424
785,30,0.90392,0.92752,0.29267
790,10,0.98352,0.99642,0.82824
790,15,0.96705,0.98797,0.65169
790,20,0.94746,0.97323,0.49346
790,25,0.92601,0.9528,0.37626
790,30,0.9039,0.9285,0.29428
795,10,0.98332,0.99644,0.83
795,15,0.96675,0.98809,0.65434
795,20,0.9471,0.97353,0.49616
795,25,0.92562,0.95335,0.37859
795,30,0.90349,0.9293,0.29617
800,10,0.98312,0.99646,0.83174
800,15,0.96646,0.98821,0.65696
800,20,0.94674,0.97383,0.49885
800,25,0.92523,0.95389,0.38092
800,30,0.90308,0.93008,0.29807
